,id,name,mmi,location,distance,station,longitude,latitude,pga_h,pga_v,pgv_h,pgv_v
199,nz_wdfs_20,Ward Fire Station,3,20,118.88,WDFS,174.138424,-41.827399,0.5711230021,0.1540164405,0.2731779925,0.1032188461
200,nz_wel_20,Wellington,3,20,181.57,WEL,174.768184,-41.284048,0.3724757816,0.258317802,0.1493926327,0.0824443991
201,nz_wems_20,Wellington Emergency Management Office,3,20,182.81,WEMS,174.779264,-41.274287,0.2667457811,0.1587023807,0.194229547,0.0874762183
202,nz_whas_20,Gaunt Creek,2,20,256.24,WHAS,170.326848,-43.314319,0.1387516671,0.0627178096,0.0532623813,0.0193818602
203,nz_whfs_20,Whataroa Fire Station,2,20,250.49,WHFS,170.359029,-43.261164,0.1164534413,0.0854957623,0.0502468388,0.0287864225
204,nz_whsz_20,Whataroa River,2,20,249.61,WHSZ,170.40645,-43.29065,0.1002276078,0.0752535412,0.0797262608,0.0456702799
205,nz_wigc_20,Waiau Gorge,3,20,98.68,WIGC,172.800303,-42.701187,0.6820571712,0.3198509828,0.276372651,0.1978499743
206,nz_wnas_20,Wellington International Airport,3,20,183.3,WNAS,174.809034,-41.326409,0.2361611408,0.2142149593,0.2312570295,0.1050956943
207,nz_wnhs_20,Wellington High School,3,20,181.54,WNHS,174.775514,-41.300778,0.3160267272,0.339337538,0.1565092778,0.127818245
208,nz_wnks_20,Wellington Karori Normal School,3,20,179.49,WNKS,174.742054,-41.284818,0.4727139126,0.2139102652,0.2217992664,0.1084223109
209,nz_wras_20,Wairau Valley,3,20,77.12,WRAS,173.586376,-41.595477,0.7626958821,0.2737453225,0.2890713749,0.1091291883
210,nz_wrcs_20,Masterton Wairarapa College,2,20,263.67,WRCS,175.647817,-40.950352,0.0595978968,0.0351154472,0.0388802326,0.0164781662
211,nz_wsfc_20,Westerfield,2,20,241.47,WSFC,171.611012,-43.837332,0.1135156639,0.070071291,0.0684562636,0.0197113432
212,nz_wtmc_20,Te Mara Farm Waiau,3,20,93.81,WTMC,173.053596,-42.619455,0.4020580524,0.271388765,0.1465318952,0.0722198945
213,nz_wtys_20,Wellington Tennyson Street,3,20,182.19,WTYS,174.78126,-41.29543,0.3217340909,0.3309717313,0.2637321004,0.1593613544
214,nz_wvas_20,Waitaha Valley Strong,3,20,213.43,WVAS,170.737154,-43.07155,0.2950636555,0.184341897,0.123470138,0.0739802821
215,nz_wvfs_20,Wairau Valley Farm,4,20,57.79,WVFS,173.350905,-41.620232,0.823009624,0.4476663727,0.4570064971,0.1230071049
216,nz_wvz_21,Waitaha Valley,2,21,213.66,WVZ,170.736799,-43.074372,0.1338828973,0.0597028853,0.0525762701,0.0245854476
